route,title,final_title,meta_description,canonical,h1,robots,indexability_class,title_issues,description_issues,structured_data
"/","Websites, SEO and ads","Websites, SEO and ads | Prism","Websites, SEO and ads. A concise overview with the key details from Prism.","https://www.design-prism.com/","","index","indexable","","","yes"
"/about","About","About | Prism","About. A concise overview with the key details from Prism.","https://www.design-prism.com/about","","index","indexable","","","yes"
"/ads","Ads for small business","Ads for small business | Prism","Ads for small business. A concise overview with the key details from Prism.","https://www.design-prism.com/ads","Ads that bring the right customers - not just clicks","index","indexable","","","yes"
"/aeo","Free AEO assessment","Free AEO assessment | Prism","Free AEO assessment. A concise overview with the key details from Prism.","https://www.design-prism.com/aeo","Be cited, not ignored, in AI-powered discovery.","index","indexable","","","yes"
"/aeo-thank-you","Your AEO assessment is on its way","Your AEO assessment is on its way | Prism","Your free AEO assessment is submitted.","https://www.design-prism.com/aeo-thank-you","Your free AEO assessment is on its way.","noindex","utility_noindex","","","no"
"/ai","Build your website with Prism AI","Build your website with Prism AI | Prism","Build your website with Prism AI. A concise overview with the key details from Prism.","https://www.design-prism.com/ai","Request received.","noindex","utility_noindex","","","yes"
"/ai-agents","AI voice agents for small business","AI voice agents for small business | Prism","AI voice agents for small business. A concise overview with the key details from Prism.","https://www.design-prism.com/ai-agents","ai voice agents for calls, booking, and follow-up","noindex","utility_noindex","","","yes"
"/ai-agents/dental","AI phone agents for dentists","AI phone agents for dentists | Prism","AI phone agents for dentists. A concise overview with the key details from Prism.","https://www.design-prism.com/ai-agents/dental","an ai receptionist for routine calls and careful handoffs","index","indexable","","","yes"
"/ai-seo-services","AI SEO","AI SEO | Prism","AI SEO. A concise overview with the key details from Prism.","https://www.design-prism.com/ai-seo-services","ai seo services that help you get cited and chosen","index","indexable","","","yes"
"/analysis-thank-you","Your free analysis is on its way","Your free analysis is on its way | Prism","We are preparing your free website and visibility analysis.","https://www.design-prism.com/analysis-thank-you","Your free website analysis is on the way.","noindex","utility_noindex","","","no"
"/apply","Growth audit application","Growth audit application | Prism","Growth audit application. A concise overview with the key details from Prism.","https://www.design-prism.com/apply","","index","indexable","","","yes"
"/apps","App development & product portfolio","App development & product portfolio | Prism","App development & product portfolio. A concise overview with the key details from Prism.","https://www.design-prism.com/apps","apps","noindex","utility_noindex","","","yes"
"/blog","Growth insights","Growth insights | Prism","Practical lessons on websites, search, AI, ads, and local growth from real Prism work.","https://www.design-prism.com/blog","Insights & ideas","index","indexable","","","yes"
"/blog/2026-belongs-to-the-founders-who-can-delegate","2026 Belongs to founders who delegate","2026 Belongs to founders who delegate | Prism","2026 rewards founders who delegate with speed and clarity.","https://www.design-prism.com/blog/2026-belongs-to-the-founders-who-can-delegate","2026 belongs to the founders who can delegate","index","indexable","","","yes"
"/blog/6m-arr-playbook","The $6M ARR playbook for AI founders","The $6M ARR playbook for AI founders | Prism","Cluely hit a $6M ARR run rate in under two months.","https://www.design-prism.com/blog/6m-arr-playbook","the $6m arr playbook: how a 21-year-old's ai tool rewrote the rules of go-to-market strategy","noindex","utility_noindex","","","yes"
"/blog/adapting-small-business-ai-search-revolution-2025","Adapt your small business to AI search","Adapt your small business to AI search | Prism","Adapt your small business to AI search. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/adapting-small-business-ai-search-revolution-2025","adapting your small business to the ai search revolution: reclaim your traffic in 2025","index","indexable","","","yes"
"/blog/ai-ad-stack-2026-practical-guide-for-smb-founders","The AI ad stack for SMBs in 2026","The AI ad stack for SMBs in 2026 | Prism","The AI ad stack for SMBs in 2026. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/ai-ad-stack-2026-practical-guide-for-smb-founders","The AI Ad Stack in 2026: A Practical Guide for SMB Founders","index","indexable","","","yes"
